trade_date,rewards
2010-09-27,"tf.Tensor(0.07437408, shape=(), dtype=float32)"
2010-09-28,"tf.Tensor(0.073982, shape=(), dtype=float32)"
2010-09-29,"tf.Tensor(0.07386875, shape=(), dtype=float32)"
2010-09-30,"tf.Tensor(0.07462299, shape=(), dtype=float32)"
2010-10-01,"tf.Tensor(0.07467449, shape=(), dtype=float32)"
2010-10-04,"tf.Tensor(0.07471883, shape=(), dtype=float32)"
2010-10-05,"tf.Tensor(0.075041294, shape=(), dtype=float32)"
2010-10-06,"tf.Tensor(0.075181365, shape=(), dtype=float32)"
2010-10-07,"tf.Tensor(0.07514608, shape=(), dtype=float32)"
2010-10-08,"tf.Tensor(0.076678276, shape=(), dtype=float32)"
2010-10-09,"tf.Tensor(0.07665336, shape=(), dtype=float32)"
2010-10-11,"tf.Tensor(0.077699184, shape=(), dtype=float32)"
2010-10-12,"tf.Tensor(0.07811546, shape=(), dtype=float32)"
2010-10-13,"tf.Tensor(0.07885873, shape=(), dtype=float32)"
2010-10-14,"tf.Tensor(0.07868111, shape=(), dtype=float32)"
2010-10-15,"tf.Tensor(0.079657555, shape=(), dtype=float32)"
2010-10-18,"tf.Tensor(0.07920694, shape=(), dtype=float32)"
2010-10-19,"tf.Tensor(0.08017683, shape=(), dtype=float32)"
2010-10-20,"tf.Tensor(0.08022547, shape=(), dtype=float32)"
2010-10-21,"tf.Tensor(0.080197215, shape=(), dtype=float32)"
2010-10-22,"tf.Tensor(0.08025563, shape=(), dtype=float32)"
2010-10-25,"tf.Tensor(0.081596136, shape=(), dtype=float32)"
2010-10-26,"tf.Tensor(0.08157146, shape=(), dtype=float32)"
2010-10-27,"tf.Tensor(0.080564976, shape=(), dtype=float32)"
2010-10-28,"tf.Tensor(0.08056378, shape=(), dtype=float32)"
2010-10-29,"tf.Tensor(0.080494285, shape=(), dtype=float32)"
2010-11-01,"tf.Tensor(0.08211434, shape=(), dtype=float32)"
2010-11-02,"tf.Tensor(0.08203721, shape=(), dtype=float32)"
2010-11-03,"tf.Tensor(0.08186293, shape=(), dtype=float32)"
2010-11-04,"tf.Tensor(0.08331299, shape=(), dtype=float32)"
2010-11-05,"tf.Tensor(0.084204316, shape=(), dtype=float32)"
2010-11-08,"tf.Tensor(0.084826946, shape=(), dtype=float32)"
2010-11-09,"tf.Tensor(0.08440089, shape=(), dtype=float32)"
2010-11-10,"tf.Tensor(0.08411515, shape=(), dtype=float32)"
2010-11-11,"tf.Tensor(0.08421385, shape=(), dtype=float32)"
2010-11-12,"tf.Tensor(0.08095145, shape=(), dtype=float32)"
2010-11-15,"tf.Tensor(0.08146536, shape=(), dtype=float32)"
2010-11-16,"tf.Tensor(0.07911897, shape=(), dtype=float32)"
2010-11-17,"tf.Tensor(0.07751894, shape=(), dtype=float32)"
2010-11-18,"tf.Tensor(0.0786525, shape=(), dtype=float32)"
2010-11-19,"tf.Tensor(0.079390526, shape=(), dtype=float32)"
2010-11-22,"tf.Tensor(0.07941103, shape=(), dtype=float32)"
2010-11-23,"tf.Tensor(0.07783556, shape=(), dtype=float32)"
2010-11-24,"tf.Tensor(0.07907593, shape=(), dtype=float32)"
2010-11-25,"tf.Tensor(0.079670906, shape=(), dtype=float32)"
2010-11-26,"tf.Tensor(0.07901561, shape=(), dtype=float32)"
2010-11-29,"tf.Tensor(0.0791955, shape=(), dtype=float32)"
2010-11-30,"tf.Tensor(0.07806742, shape=(), dtype=float32)"
2010-12-01,"tf.Tensor(0.07862568, shape=(), dtype=float32)"
2010-12-02,"tf.Tensor(0.079233885, shape=(), dtype=float32)"
2010-12-03,"tf.Tensor(0.07907581, shape=(), dtype=float32)"
2010-12-06,"tf.Tensor(0.07886493, shape=(), dtype=float32)"
2010-12-07,"tf.Tensor(0.07949507, shape=(), dtype=float32)"
2010-12-08,"tf.Tensor(0.078980565, shape=(), dtype=float32)"
2010-12-09,"tf.Tensor(0.07829654, shape=(), dtype=float32)"
