trade_date,rewards
2010-06-01,10000
2010-06-02,"tf.Tensor(-0.07771957, shape=(), dtype=float32)"
2010-06-03,"tf.Tensor(-0.07767689, shape=(), dtype=float32)"
2010-06-04,"tf.Tensor(-0.077531934, shape=(), dtype=float32)"
2010-06-07,"tf.Tensor(-0.0765363, shape=(), dtype=float32)"
2010-06-08,"tf.Tensor(-0.07701528, shape=(), dtype=float32)"
2010-06-09,"tf.Tensor(-0.078401566, shape=(), dtype=float32)"
2010-06-10,"tf.Tensor(-0.07862103, shape=(), dtype=float32)"
2010-06-11,"tf.Tensor(-0.07870853, shape=(), dtype=float32)"
2010-06-12,"tf.Tensor(-0.0786953, shape=(), dtype=float32)"
2010-06-13,"tf.Tensor(-0.078681946, shape=(), dtype=float32)"
2010-06-14,"tf.Tensor(-0.0787735, shape=(), dtype=float32)"
2010-06-15,"tf.Tensor(-0.07910085, shape=(), dtype=float32)"
2010-06-16,"tf.Tensor(-0.07908082, shape=(), dtype=float32)"
2010-06-17,"tf.Tensor(-0.07861686, shape=(), dtype=float32)"
2010-06-18,"tf.Tensor(-0.077168345, shape=(), dtype=float32)"
2010-06-21,"tf.Tensor(-0.078969955, shape=(), dtype=float32)"
2010-06-22,"tf.Tensor(-0.07894111, shape=(), dtype=float32)"
2010-06-23,"tf.Tensor(-0.07862651, shape=(), dtype=float32)"
2010-06-24,"tf.Tensor(-0.078259826, shape=(), dtype=float32)"
2010-06-25,"tf.Tensor(-0.07761979, shape=(), dtype=float32)"
2010-06-28,"tf.Tensor(-0.077050924, shape=(), dtype=float32)"
2010-06-29,"tf.Tensor(-0.07363796, shape=(), dtype=float32)"
2010-06-30,"tf.Tensor(-0.072692275, shape=(), dtype=float32)"
2010-07-01,"tf.Tensor(-0.07184148, shape=(), dtype=float32)"
2010-07-02,"tf.Tensor(-0.07149327, shape=(), dtype=float32)"
2010-07-05,"tf.Tensor(-0.071097136, shape=(), dtype=float32)"
2010-07-06,"tf.Tensor(-0.072606206, shape=(), dtype=float32)"
2010-07-07,"tf.Tensor(-0.073381305, shape=(), dtype=float32)"
2010-07-08,"tf.Tensor(-0.07345176, shape=(), dtype=float32)"
2010-07-09,"tf.Tensor(-0.07517707, shape=(), dtype=float32)"
2010-07-12,"tf.Tensor(-0.07571435, shape=(), dtype=float32)"
2010-07-13,"tf.Tensor(-0.07514608, shape=(), dtype=float32)"
2010-07-14,"tf.Tensor(-0.0755589, shape=(), dtype=float32)"
2010-07-15,"tf.Tensor(-0.07428765, shape=(), dtype=float32)"
2010-07-16,"tf.Tensor(-0.073976755, shape=(), dtype=float32)"
2010-07-19,"tf.Tensor(-0.075145245, shape=(), dtype=float32)"
2010-07-20,"tf.Tensor(-0.0767684, shape=(), dtype=float32)"
2010-07-21,"tf.Tensor(-0.07683706, shape=(), dtype=float32)"
2010-07-22,"tf.Tensor(-0.07785356, shape=(), dtype=float32)"
2010-07-23,"tf.Tensor(-0.07824278, shape=(), dtype=float32)"
2010-07-26,"tf.Tensor(-0.0789417, shape=(), dtype=float32)"
2010-07-27,"tf.Tensor(-0.078871965, shape=(), dtype=float32)"
2010-07-28,"tf.Tensor(-0.080078244, shape=(), dtype=float32)"
2010-07-29,"tf.Tensor(-0.0802573, shape=(), dtype=float32)"
2010-07-30,"tf.Tensor(-0.080060005, shape=(), dtype=float32)"
2010-08-02,"tf.Tensor(-0.08151269, shape=(), dtype=float32)"
2010-08-03,"tf.Tensor(-0.080520034, shape=(), dtype=float32)"
2010-08-04,"tf.Tensor(-0.08102, shape=(), dtype=float32)"
2010-08-05,"tf.Tensor(-0.08096075, shape=(), dtype=float32)"
2010-08-06,"tf.Tensor(-0.081926346, shape=(), dtype=float32)"
2010-08-09,"tf.Tensor(-0.0825727, shape=(), dtype=float32)"
2010-08-10,"tf.Tensor(-0.08052242, shape=(), dtype=float32)"
2010-08-11,"tf.Tensor(-0.08043802, shape=(), dtype=float32)"
2010-08-12,"tf.Tensor(-0.07963717, shape=(), dtype=float32)"
2010-08-13,"tf.Tensor(-0.0804075, shape=(), dtype=float32)"
2010-08-16,"tf.Tensor(-0.08167982, shape=(), dtype=float32)"
2010-08-17,"tf.Tensor(-0.0822562, shape=(), dtype=float32)"
2010-08-18,"tf.Tensor(-0.082155466, shape=(), dtype=float32)"
2010-08-19,"tf.Tensor(-0.08214843, shape=(), dtype=float32)"
2010-08-20,"tf.Tensor(-0.080914855, shape=(), dtype=float32)"
2010-08-23,"tf.Tensor(-0.08097696, shape=(), dtype=float32)"
2010-08-24,"tf.Tensor(-0.08106601, shape=(), dtype=float32)"
2010-08-25,"tf.Tensor(-0.07999194, shape=(), dtype=float32)"
2010-08-26,"tf.Tensor(-0.080100894, shape=(), dtype=float32)"
2010-08-27,"tf.Tensor(-0.08065951, shape=(), dtype=float32)"
2010-08-30,"tf.Tensor(-0.08176315, shape=(), dtype=float32)"
2010-08-31,"tf.Tensor(-0.08169329, shape=(), dtype=float32)"
2010-09-01,"tf.Tensor(-0.08170223, shape=(), dtype=float32)"
2010-09-02,"tf.Tensor(-0.08274937, shape=(), dtype=float32)"
2010-09-03,"tf.Tensor(-0.08313918, shape=(), dtype=float32)"
2010-09-06,"tf.Tensor(-0.08376813, shape=(), dtype=float32)"
2010-09-07,"tf.Tensor(-0.0837816, shape=(), dtype=float32)"
2010-09-08,"tf.Tensor(-0.08388674, shape=(), dtype=float32)"
2010-09-09,"tf.Tensor(-0.08322084, shape=(), dtype=float32)"
2010-09-10,"tf.Tensor(-0.08372438, shape=(), dtype=float32)"
2010-09-13,"tf.Tensor(-0.08488965, shape=(), dtype=float32)"
2010-09-14,"tf.Tensor(-0.08501351, shape=(), dtype=float32)"
2010-09-15,"tf.Tensor(-0.08423591, shape=(), dtype=float32)"
2010-09-16,"tf.Tensor(-0.08298969, shape=(), dtype=float32)"
2010-09-17,"tf.Tensor(-0.08317506, shape=(), dtype=float32)"
2010-09-19,"tf.Tensor(-0.083165884, shape=(), dtype=float32)"
2010-09-20,"tf.Tensor(-0.08302641, shape=(), dtype=float32)"
2010-09-21,"tf.Tensor(-0.08303809, shape=(), dtype=float32)"
2010-09-22,"tf.Tensor(-0.08298814, shape=(), dtype=float32)"
2010-09-23,"tf.Tensor(-0.08285296, shape=(), dtype=float32)"
2010-09-24,"tf.Tensor(-0.08320308, shape=(), dtype=float32)"
2010-09-25,"tf.Tensor(-0.083195925, shape=(), dtype=float32)"
2010-09-26,"tf.Tensor(-0.08318925, shape=(), dtype=float32)"
2010-09-27,"tf.Tensor(-0.084374785, shape=(), dtype=float32)"
2010-09-28,"tf.Tensor(-0.08396399, shape=(), dtype=float32)"
2010-09-29,"tf.Tensor(-0.08374417, shape=(), dtype=float32)"
2010-09-30,"tf.Tensor(-0.08459151, shape=(), dtype=float32)"
2010-10-01,"tf.Tensor(-0.08464384, shape=(), dtype=float32)"
2010-10-04,"tf.Tensor(-0.084690094, shape=(), dtype=float32)"
2010-10-05,"tf.Tensor(-0.08499992, shape=(), dtype=float32)"
2010-10-06,"tf.Tensor(-0.08513975, shape=(), dtype=float32)"
2010-10-07,"tf.Tensor(-0.08511019, shape=(), dtype=float32)"
2010-10-08,"tf.Tensor(-0.08677864, shape=(), dtype=float32)"
2010-10-09,"tf.Tensor(-0.086761475, shape=(), dtype=float32)"
2010-10-11,"tf.Tensor(-0.087652445, shape=(), dtype=float32)"
2010-10-12,"tf.Tensor(-0.088023186, shape=(), dtype=float32)"
2010-10-13,"tf.Tensor(-0.08877993, shape=(), dtype=float32)"
2010-10-14,"tf.Tensor(-0.088267446, shape=(), dtype=float32)"
2010-10-15,"tf.Tensor(-0.08919704, shape=(), dtype=float32)"
2010-10-18,"tf.Tensor(-0.08853936, shape=(), dtype=float32)"
2010-10-19,"tf.Tensor(-0.08982885, shape=(), dtype=float32)"
2010-10-20,"tf.Tensor(-0.09000933, shape=(), dtype=float32)"
2010-10-21,"tf.Tensor(-0.09013927, shape=(), dtype=float32)"
2010-10-22,"tf.Tensor(-0.09034181, shape=(), dtype=float32)"
2010-10-25,"tf.Tensor(-0.09187794, shape=(), dtype=float32)"
2010-10-26,"tf.Tensor(-0.091930866, shape=(), dtype=float32)"
2010-10-27,"tf.Tensor(-0.09091079, shape=(), dtype=float32)"
2010-10-28,"tf.Tensor(-0.090908766, shape=(), dtype=float32)"
2010-10-29,"tf.Tensor(-0.09106195, shape=(), dtype=float32)"
2010-11-01,"tf.Tensor(-0.09282315, shape=(), dtype=float32)"
2010-11-02,"tf.Tensor(-0.09261167, shape=(), dtype=float32)"
2010-11-03,"tf.Tensor(-0.09224975, shape=(), dtype=float32)"
2010-11-04,"tf.Tensor(-0.09382999, shape=(), dtype=float32)"
2010-11-05,"tf.Tensor(-0.09483838, shape=(), dtype=float32)"
2010-11-08,"tf.Tensor(-0.09562349, shape=(), dtype=float32)"
2010-11-09,"tf.Tensor(-0.09530544, shape=(), dtype=float32)"
2010-11-10,"tf.Tensor(-0.09514594, shape=(), dtype=float32)"
2010-11-11,"tf.Tensor(-0.09519088, shape=(), dtype=float32)"
2010-11-12,"tf.Tensor(-0.091492176, shape=(), dtype=float32)"
2010-11-15,"tf.Tensor(-0.09229064, shape=(), dtype=float32)"
2010-11-16,"tf.Tensor(-0.08965647, shape=(), dtype=float32)"
2010-11-17,"tf.Tensor(-0.087789655, shape=(), dtype=float32)"
2010-11-18,"tf.Tensor(-0.08906734, shape=(), dtype=float32)"
2010-11-19,"tf.Tensor(-0.09014678, shape=(), dtype=float32)"
2010-11-22,"tf.Tensor(-0.09037006, shape=(), dtype=float32)"
2010-11-23,"tf.Tensor(-0.088784575, shape=(), dtype=float32)"
2010-11-24,"tf.Tensor(-0.09019196, shape=(), dtype=float32)"
2010-11-25,"tf.Tensor(-0.0907799, shape=(), dtype=float32)"
2010-11-26,"tf.Tensor(-0.09015787, shape=(), dtype=float32)"
2010-11-29,"tf.Tensor(-0.09033573, shape=(), dtype=float32)"
2010-11-30,"tf.Tensor(-0.08902037, shape=(), dtype=float32)"
2010-12-01,"tf.Tensor(-0.089502215, shape=(), dtype=float32)"
2010-12-02,"tf.Tensor(-0.0900985, shape=(), dtype=float32)"
2010-12-03,"tf.Tensor(-0.08982897, shape=(), dtype=float32)"
2010-12-06,"tf.Tensor(-0.08946717, shape=(), dtype=float32)"
2010-12-07,"tf.Tensor(-0.090326905, shape=(), dtype=float32)"
2010-12-08,"tf.Tensor(-0.089839816, shape=(), dtype=float32)"
2010-12-09,"tf.Tensor(-0.089016914, shape=(), dtype=float32)"
2010-12-10,"tf.Tensor(-0.08981168, shape=(), dtype=float32)"
2010-12-13,"tf.Tensor(-0.09147024, shape=(), dtype=float32)"
2010-12-14,"tf.Tensor(-0.091869116, shape=(), dtype=float32)"
2010-12-15,"tf.Tensor(-0.09123361, shape=(), dtype=float32)"
2010-12-16,"tf.Tensor(-0.09093928, shape=(), dtype=float32)"
2010-12-17,"tf.Tensor(-0.090973616, shape=(), dtype=float32)"
2010-12-20,"tf.Tensor(-0.09026456, shape=(), dtype=float32)"
2010-12-21,"tf.Tensor(-0.09138167, shape=(), dtype=float32)"
2010-12-22,"tf.Tensor(-0.09092009, shape=(), dtype=float32)"
2010-12-23,"tf.Tensor(-0.09003186, shape=(), dtype=float32)"
2010-12-24,"tf.Tensor(-0.08930826, shape=(), dtype=float32)"
2010-12-27,"tf.Tensor(-0.088012695, shape=(), dtype=float32)"
2010-12-28,"tf.Tensor(-0.08676815, shape=(), dtype=float32)"
2010-12-29,"tf.Tensor(-0.087756634, shape=(), dtype=float32)"
2010-12-30,"tf.Tensor(-0.08795297, shape=(), dtype=float32)"
2010-12-31,"tf.Tensor(-0.089093566, shape=(), dtype=float32)"
2011-01-03,"tf.Tensor(-0.089514494, shape=(), dtype=float32)"
2011-01-04,"tf.Tensor(-0.090485334, shape=(), dtype=float32)"
2011-01-05,"tf.Tensor(-0.09048784, shape=(), dtype=float32)"
2011-01-06,"tf.Tensor(-0.09012616, shape=(), dtype=float32)"
2011-01-07,"tf.Tensor(-0.09000862, shape=(), dtype=float32)"
2011-01-10,"tf.Tensor(-0.08861351, shape=(), dtype=float32)"
2011-01-11,"tf.Tensor(-0.08873105, shape=(), dtype=float32)"
2011-01-12,"tf.Tensor(-0.08939457, shape=(), dtype=float32)"
2011-01-13,"tf.Tensor(-0.08947253, shape=(), dtype=float32)"
