trade_date,rewards
2010-06-01,10000
2010-06-02,"tf.Tensor(0.06948924, shape=(), dtype=float32)"
2010-06-03,"tf.Tensor(0.06944907, shape=(), dtype=float32)"
2010-06-04,"tf.Tensor(0.0690968, shape=(), dtype=float32)"
2010-06-07,"tf.Tensor(0.068002105, shape=(), dtype=float32)"
2010-06-08,"tf.Tensor(0.06839669, shape=(), dtype=float32)"
2010-06-09,"tf.Tensor(0.06962776, shape=(), dtype=float32)"
2010-06-10,"tf.Tensor(0.06979406, shape=(), dtype=float32)"
2010-06-11,"tf.Tensor(0.07001424, shape=(), dtype=float32)"
2010-06-12,"tf.Tensor(0.0699985, shape=(), dtype=float32)"
2010-06-13,"tf.Tensor(0.06998503, shape=(), dtype=float32)"
2010-06-14,"tf.Tensor(0.07008088, shape=(), dtype=float32)"
2010-06-15,"tf.Tensor(0.070426226, shape=(), dtype=float32)"
2010-06-16,"tf.Tensor(0.07040191, shape=(), dtype=float32)"
2010-06-17,"tf.Tensor(0.07013631, shape=(), dtype=float32)"
2010-06-18,"tf.Tensor(0.069039464, shape=(), dtype=float32)"
2010-06-21,"tf.Tensor(0.07075024, shape=(), dtype=float32)"
2010-06-22,"tf.Tensor(0.07057989, shape=(), dtype=float32)"
2010-06-23,"tf.Tensor(0.070203185, shape=(), dtype=float32)"
2010-06-24,"tf.Tensor(0.06982815, shape=(), dtype=float32)"
2010-06-25,"tf.Tensor(0.06938553, shape=(), dtype=float32)"
2010-06-28,"tf.Tensor(0.068924546, shape=(), dtype=float32)"
2010-06-29,"tf.Tensor(0.065870404, shape=(), dtype=float32)"
2010-06-30,"tf.Tensor(0.064965725, shape=(), dtype=float32)"
2010-07-01,"tf.Tensor(0.06428945, shape=(), dtype=float32)"
2010-07-02,"tf.Tensor(0.06405115, shape=(), dtype=float32)"
2010-07-05,"tf.Tensor(0.063648105, shape=(), dtype=float32)"
2010-07-06,"tf.Tensor(0.064944625, shape=(), dtype=float32)"
2010-07-07,"tf.Tensor(0.06563306, shape=(), dtype=float32)"
2010-07-08,"tf.Tensor(0.06575668, shape=(), dtype=float32)"
2010-07-09,"tf.Tensor(0.06730151, shape=(), dtype=float32)"
2010-07-12,"tf.Tensor(0.06782377, shape=(), dtype=float32)"
2010-07-13,"tf.Tensor(0.06731403, shape=(), dtype=float32)"
2010-07-14,"tf.Tensor(0.06776619, shape=(), dtype=float32)"
2010-07-15,"tf.Tensor(0.066646576, shape=(), dtype=float32)"
2010-07-16,"tf.Tensor(0.066322446, shape=(), dtype=float32)"
2010-07-19,"tf.Tensor(0.06732547, shape=(), dtype=float32)"
2010-07-20,"tf.Tensor(0.06868672, shape=(), dtype=float32)"
2010-07-21,"tf.Tensor(0.0687443, shape=(), dtype=float32)"
2010-07-22,"tf.Tensor(0.06971228, shape=(), dtype=float32)"
2010-07-23,"tf.Tensor(0.07009292, shape=(), dtype=float32)"
2010-07-26,"tf.Tensor(0.070662856, shape=(), dtype=float32)"
2010-07-27,"tf.Tensor(0.07055783, shape=(), dtype=float32)"
2010-07-28,"tf.Tensor(0.071576595, shape=(), dtype=float32)"
2010-07-29,"tf.Tensor(0.07177329, shape=(), dtype=float32)"
2010-07-30,"tf.Tensor(0.071590066, shape=(), dtype=float32)"
2010-08-02,"tf.Tensor(0.07291627, shape=(), dtype=float32)"
2010-08-03,"tf.Tensor(0.07206547, shape=(), dtype=float32)"
2010-08-04,"tf.Tensor(0.07253051, shape=(), dtype=float32)"
2010-08-05,"tf.Tensor(0.07233715, shape=(), dtype=float32)"
2010-08-06,"tf.Tensor(0.07314265, shape=(), dtype=float32)"
