trade_date,000001.SH_close,000300.SH_close,000905.SH_close,399006.SZ_close,HIS.HI_close,SPX.GI_close,CBA00301.CS_close,rewards
2017-04-19,3170.6859999999997,3445.8759999999997,6350.646,6702.944,23825.88,2338.17,168.4556,9738.549644264522
2017-04-20,3172.1,3461.548,6347.773,6729.154,24056.98,2355.84,168.3308,9737.323059467486
2017-04-21,3173.151,3466.7870000000003,6300.7119999999995,6691.4619999999995,24042.02,2348.69,168.0985,9733.887642097356
2017-04-24,3129.531,3431.259,6138.504,6545.839,24139.48,2374.15,167.83,9684.05144028903
2017-04-25,3134.567,3440.974,6160.460999999999,6594.206999999999,24455.94,2388.61,167.9802,9691.710785874393
2017-04-26,3140.847,3445.183,6176.398,6640.795999999999,24578.43,2387.45,167.9777,9698.134921635268
2017-04-27,3152.1859999999997,3446.72,6192.304,6642.047,24698.48,2388.77,168.0587,9711.331354187076
2017-04-28,3154.658,3439.7529999999997,6211.861999999999,6640.18,24615.13,2384.2,168.0268,9713.211904300331
2017-05-01,3154.658,3439.7529999999997,6211.861999999999,6640.18,24615.13,2388.33,168.0268,9713.192516759002
2017-05-02,3143.712,3426.577,6216.115,6622.173000000001,24696.13,2391.17,167.9138,9699.780137984493
2017-05-03,3135.3459999999995,3413.1279999999997,6197.477,6592.9259999999995,24696.13,2388.13,167.7216,9687.372967398464
2017-05-04,3127.368,3404.386,6176.305,6575.573,24683.88,2389.52,167.4747,9674.33465448044
2017-05-05,3103.0370000000003,3382.55,6089.682,6493.1759999999995,24476.35,2399.29,167.435,9648.415784471237
2017-05-08,3078.612,3358.813,5975.539000000001,6409.54,24577.91,2399.38,167.2022,9618.379023666017
2017-05-09,3080.526,3352.532,6012.001,6448.746999999999,24889.03,2396.92,166.9317,9614.952238444945
2017-05-10,3052.785,3337.7009999999996,5885.840999999999,6399.516,25015.42,2399.63,166.5391,9578.490368840201
2017-05-11,3061.5,3356.6459999999997,5872.639,6407.04,25125.55,2394.44,166.7228,9590.873569857347
